From,To,Season,Flow,Type
Plant1,Sub4,Winter,562.672575386524,Facility to Substation
Plant1,Sub4,Spring,337.60354523191444,Facility to Substation
Plant1,Sub4,Summer,112.53451507730482,Facility to Substation
Plant1,Sub4,Fall,337.60354523191444,Facility to Substation
Plant2,Sub1,Winter,811.4976552634786,Facility to Substation
Plant2,Sub1,Spring,486.8985931580872,Facility to Substation
Plant2,Sub1,Summer,162.29953105269573,Facility to Substation
Plant2,Sub1,Fall,486.8985931580872,Facility to Substation
Plant3,Sub2,Winter,824.6230675873144,Facility to Substation
Plant3,Sub2,Spring,494.7738405523886,Facility to Substation
Plant3,Sub2,Summer,164.9246135174629,Facility to Substation
Plant3,Sub2,Fall,494.7738405523886,Facility to Substation
Sub1,City3,Winter,248.0779372996551,Substation to Customer
Sub1,City3,Spring,148.84676237979306,Substation to Customer
Sub1,City3,Summer,49.61558745993102,Substation to Customer
Sub1,City3,Fall,148.84676237979306,Substation to Customer
Sub1,City6,Winter,249.0341339236351,Substation to Customer
Sub1,City6,Spring,149.42048035418105,Substation to Customer
Sub1,City6,Summer,49.806826784727015,Substation to Customer
Sub1,City6,Fall,149.42048035418105,Substation to Customer
Sub1,City8,Winter,288.97444430539394,Substation to Customer
Sub1,City8,Spring,173.38466658323637,Substation to Customer
Sub1,City8,Summer,57.794888861078796,Substation to Customer
Sub1,City8,Fall,173.38466658323637,Substation to Customer
Sub2,City2,Winter,268.0856521837524,Substation to Customer
Sub2,City2,Spring,160.85139131025144,Substation to Customer
Sub2,City2,Summer,53.61713043675049,Substation to Customer
Sub2,City2,Fall,160.85139131025144,Substation to Customer
Sub2,City4,Winter,305.3670601768278,Substation to Customer
Sub2,City4,Spring,183.22023610609668,Substation to Customer
Sub2,City4,Summer,61.073412035365564,Substation to Customer
Sub2,City4,Fall,183.22023610609668,Substation to Customer
Sub2,City7,Winter,244.3539896352378,Substation to Customer
Sub2,City7,Spring,146.61239378114266,Substation to Customer
Sub2,City7,Summer,48.87079792704757,Substation to Customer
Sub2,City7,Fall,146.61239378114266,Substation to Customer
Sub4,City1,Winter,286.3407268633101,Substation to Customer
Sub4,City1,Spring,171.80443611798609,Substation to Customer
Sub4,City1,Summer,57.26814537266203,Substation to Customer
Sub4,City1,Fall,171.80443611798609,Substation to Customer
Sub4,City5,Winter,256.74716849572366,Substation to Customer
Sub4,City5,Spring,154.0483010974342,Substation to Customer
Sub4,City5,Summer,51.34943369914473,Substation to Customer
Sub4,City5,Fall,154.0483010974342,Substation to Customer
